S.No,Type,Name,IsKeyRatiosEnabled
1,Equity,LSE:VOD,true
2,Equity,LSE:GSK,true
4,Equity,LSE:WISE,true
5,Equity,LSE:WIL,true
6,Equity,LSE:ADM,true
7,Equity,LSE:AJB,true
8,Equity,LSE:ACIA,true
9,Equity,LSE:MACA,true
12,Equity,LSE:UPL,true
14,Equity,LSE:YOU,true
15,Equity,LSE:YCA,true
16,Equity,LSE:ABDN,true
17,Equity,LSE:RAI,true
18,Equity,LSE:RCH,true
19,Equity,LSE:HFD,true
20,Equity,LSE:QBT,true
21,Equity,LSE:ADME,true
22,Equity,LSE:AFC,true
23,Equity,LSE:AFRN,true
24,Equity,LSE:SIXH,true
25,Equity,LSE:888,true
